Id,Class
1,0.4907414
2,0.4907414
3,0.4907414
4,0.49076915
5,0.4907414
6,0.49086282
7,0.4907414
8,0.49081525
9,0.4907414
10,0.49128968
11,0.49100935
12,0.49086282
13,0.49106878
14,0.49102718
15,0.4910965
16,0.49138227
17,0.4907414
18,0.4907414
19,0.4910965
20,0.4907414
21,0.49283168
22,0.4907414
23,0.4907414
24,0.4907414
25,0.4907414
26,0.4907414
27,0.4907414
28,0.4910965
29,0.4910965
30,0.4910965
31,0.49102718
32,0.4910965
33,0.49106878
34,0.49182573
35,0.49102718
36,0.49158138
37,0.4907414
38,0.4907414
39,0.4907414
40,0.4907414
41,0.49149808
42,0.49102718
43,0.4907414
44,0.4907414
45,0.4907414
46,0.4907414
47,0.49102718
48,0.4907414
49,0.49081525
50,0.49167287
51,0.4907414
52,0.4907414
53,0.4907414
54,0.49086282
55,0.4907414
56,0.49158138
57,0.4907414
58,0.49138227
59,0.4910965
60,0.4907414
61,0.49102718
62,0.4907414
63,0.4907414
64,0.4907414
65,0.4907414
66,0.4910965
67,0.4907414
68,0.4930841
69,0.4907414
70,0.4910965
71,0.49138227
72,0.49190596
73,0.49105603
74,0.49076915
75,0.4907414
76,0.4907414
77,0.49102718
78,0.4907414
79,0.4907414
80,0.4907414
81,0.49086282
82,0.4907414
83,0.49076915
84,0.49086282
85,0.4907414
86,0.49093458
87,0.49086282
88,0.4907414
89,0.4907414
90,0.4907414
91,0.49343982
92,0.49114862
93,0.49102718
94,0.4907414
95,0.4907414
96,0.49076915
97,0.49102718
98,0.4907414
99,0.49138227
100,0.49114862
101,0.4907414
102,0.4910965
103,0.49138227
104,0.49130836
105,0.49483132
106,0.49086282
107,0.49086282
108,0.4910965
109,0.4910965
110,0.4912158
111,0.4907414
112,0.4907414
113,0.49102718
114,0.49102718
115,0.4907414
116,0.4907414
117,0.4907414
118,0.4907414
119,0.49699542
120,0.4910965
121,0.49102718
122,0.4907414
123,0.4907414
124,0.49081525
125,0.4907414
126,0.49102718
127,0.49086282
128,0.4938275
129,0.4907414
130,0.49138227
131,0.49160627
132,0.49100935
133,0.4907414
134,0.49102718
135,0.49106878
136,0.4907414
137,0.4907414
138,0.4907414
139,0.4907414
140,0.49105603
141,0.49081525
142,0.49102718
143,0.49102718
144,0.49086282
145,0.4907414
146,0.49086282
147,0.49094528
148,0.4907414
149,0.49138227
150,0.49138227
151,0.4907414
152,0.49255016
153,0.49086282
154,0.4907414
155,0.4907414
156,0.49114862
157,0.4907414
158,0.49102718
159,0.4907414
160,0.49102718
161,0.4907414
162,0.4917058
163,0.49114862
164,0.49093458
165,0.49102718
166,0.49102718
167,0.4910965
168,0.49105603
169,0.49102262
170,0.49114862
171,0.4907414
172,0.49086282
173,0.4907414
174,0.4907414
175,0.4910965
176,0.4907414
177,0.49086282
178,0.49129254
179,0.49086282
180,0.4907414
181,0.49138227
182,0.49102718
183,0.4907414
184,0.49129254
185,0.4907414
186,0.4907414
187,0.4910965
188,0.49102718
189,0.4907414
190,0.4907414
191,0.4910965
192,0.4907414
193,0.4907414
194,0.4907414
195,0.49129254
196,0.49106878
197,0.49086282
198,0.49138227
199,0.49138227
200,0.4907414
201,0.4907414
202,0.49102718
203,0.49102718
204,0.4907414
205,0.4907414
206,0.49086282
207,0.4910965
208,0.49102718
209,0.49086282
210,0.49086282
211,0.49114862
212,0.49086282
213,0.4910965
214,0.4907414
215,0.4910965
216,0.4907414
217,0.49102718
218,0.4907414
219,0.4907414
220,0.49129254
221,0.4907414
222,0.4910965
223,0.4907414
224,0.493197
225,0.4907414
226,0.49093458
227,0.4907414
228,0.4907414
229,0.4910965
230,0.4907414
231,0.4907414
232,0.49102718
233,0.4907414
234,0.49100935
235,0.4910965
236,0.4907414
237,0.49102262
238,0.4907414
239,0.4907414
240,0.49129254
241,0.4907414
242,0.4907414
243,0.4910965
244,0.4907414
245,0.49086282
246,0.4907414
247,0.4915476
248,0.4907414
249,0.4924152
250,0.49114862
251,0.49114862
252,0.4907414
253,0.49138227
254,0.4907414
255,0.49102718
256,0.4907414
257,0.49138227
258,0.4907414
259,0.49114862
260,0.4907414
261,0.49086282
262,0.49102262
263,0.4907414
264,0.49093458
265,0.4907414
266,0.49086282
267,0.4910965
268,0.4933292
269,0.49102718
270,0.4907414
271,0.49086282
272,0.49138227
273,0.4907414
274,0.49086282
275,0.4907414
276,0.4907414
277,0.4907414
278,0.49102718
279,0.4907414
280,0.49093458
281,0.49086282
282,0.4907414
283,0.49086282
284,0.49114862
285,0.4910965
286,0.49086282
287,0.4907414
288,0.49086282
289,0.4910965
290,0.4907414
291,0.4907414
292,0.49138227
293,0.4907414
294,0.4907414
295,0.49102262
296,0.4907414
297,0.4907414
298,0.49114862
299,0.4907414
300,0.49102718
301,0.4910965
302,0.49225822
303,0.4910965
304,0.4907414
305,0.4910965
306,0.49138406
307,0.49102718
308,0.4911929
309,0.4907414
310,0.49102718
311,0.4907414
312,0.4927986
313,0.4907414
314,0.4907414
315,0.4907414
316,0.49138227
317,0.4912807
318,0.4907414
319,0.49102718
320,0.4907414
321,0.49114862
322,0.49102262
323,0.4910965
324,0.4907414
325,0.49114862
326,0.4907414
327,0.4910965
328,0.49135453
329,0.49093458
330,0.4907414
331,0.49138227
332,0.49102262
333,0.4910965
334,0.4907414
335,0.4907414
336,0.4907414
337,0.4907414
338,0.49138227
339,0.49102718
340,0.4917058
341,0.4907414
342,0.4907414
343,0.49102718
344,0.4907414
345,0.49129254
346,0.49160627
347,0.4907414
348,0.4907414
349,0.4907414
350,0.49129513
351,0.49138227
352,0.49106878
353,0.49086282
354,0.4907414
355,0.4907414
356,0.49105603
357,0.4907414
358,0.4907414
359,0.4907414
360,0.49102718
361,0.4907414
362,0.49102718
363,0.4907414
364,0.4910965
365,0.4935711
366,0.4907414
367,0.4907414
368,0.49114862
369,0.4907414
370,0.49093458
371,0.49102718
372,0.4907414
373,0.49102262
374,0.4907414
375,0.49138227
376,0.49129254
377,0.4910965
378,0.49130836
379,0.49093458
380,0.4907414
381,0.4907414
382,0.49086282
383,0.49203846
384,0.4907414
385,0.4907414
386,0.49102718
387,0.4907414
388,0.4911929
389,0.49099487
390,0.4930456
391,0.4920567
392,0.49106878
393,0.4907414
394,0.49102718
395,0.4907414
396,0.4914162
397,0.4907414
398,0.49138227
399,0.49140242
400,0.4907414
401,0.49086282
402,0.49076915
403,0.49130836
404,0.4907414
405,0.4907414
406,0.49382418
407,0.49093458
408,0.4907414
409,0.49283168
410,0.4907414
411,0.49100935
412,0.49162218
413,0.4907414
414,0.49138227
415,0.49382308
416,0.4910965
417,0.4907414
418,0.49138227
419,0.4910965
420,0.4910965
421,0.4907414
422,0.49086282
423,0.4907414
424,0.49102718
425,0.4910965
426,0.49086282
427,0.4917058
428,0.4907414
429,0.49213684
430,0.4907414
431,0.4907414
432,0.4907414
433,0.49360678
434,0.4907414
435,0.49086282
436,0.49138227
437,0.4907414
438,0.4943146
439,0.49114862
440,0.49102718
441,0.4907414
442,0.49102262
443,0.4907414
444,0.4907414
445,0.49102718
446,0.49158138
447,0.4907414
448,0.49086282
449,0.4907414
450,0.4907414
451,0.4907414
452,0.4933292
453,0.4907414
454,0.49129254
455,0.49114862
456,0.4910965
457,0.49076915
458,0.49093458
459,0.49158138
460,0.4907414
461,0.49106878
462,0.4907414
463,0.4907414
464,0.49138227
465,0.4907414
466,0.49129254
467,0.49138227
468,0.4907414
469,0.4907414
470,0.4907414
471,0.4910965
472,0.49138227
473,0.4907414
474,0.4907414
475,0.49102262
476,0.4907414
477,0.49138227
478,0.4910965
479,0.4907414
480,0.4907414
481,0.4907414
482,0.49255016
483,0.4907414
484,0.4907414
485,0.4910858
486,0.4910965
487,0.49106556
488,0.49138227
489,0.4907414
490,0.4907414
491,0.4907414
492,0.49102718
493,0.49114862
494,0.4907414
495,0.49128968
496,0.4907414
497,0.4907414
498,0.49129254
499,0.4907414
500,0.49100935
501,0.49105603
502,0.49102718
503,0.49086282
504,0.49102718
505,0.4907414
506,0.49138227
507,0.49138227
508,0.49168822
509,0.4917058
510,0.49105603
511,0.4907414
512,0.49138227
513,0.49454933
514,0.49138227
515,0.4907414
516,0.4907414
517,0.4907414
518,0.49138227
519,0.4907414
520,0.4907414
521,0.4907414
522,0.4907414
523,0.4907414
524,0.4910965
525,0.4907414
526,0.49138227
527,0.4907414
528,0.4907414
529,0.49084306
530,0.4910965
531,0.4907414
532,0.49102718
533,0.4907414
534,0.49130836
535,0.4907414
536,0.49138227
537,0.4907414
538,0.4907414
539,0.4907414
540,0.4910965
541,0.49102718
542,0.4907414
543,0.49102718
544,0.4907414
545,0.49099487
546,0.49086282
547,0.49102262
548,0.4907414
549,0.4910965
550,0.4910965
551,0.4907414
552,0.4907414
553,0.4907414
554,0.49102718
555,0.49114862
556,0.4907414
557,0.4907414
558,0.4907414
559,0.4910965
560,0.4907414
561,0.49114862
562,0.49138227
563,0.4907414
564,0.4907414
