Id,Class
1,0.066449225
2,0.20049557
3,0.066449225
4,0.10427946
5,0.087484986
6,0.20049557
7,0.06777796
8,0.10905433
9,0.074511886
10,0.23451012
11,0.2845871
12,0.15339947
13,0.14502284
14,0.10427946
15,0.28022987
16,0.27833247
17,0.07255283
18,0.2845871
19,0.25254416
20,0.084126115
21,0.6255545
22,0.081326604
23,0.15127864
24,0.07840663
25,0.23129773
26,0.087484986
27,0.044760972
28,0.21567684
29,0.13007823
30,0.31329486
31,0.22692013
32,0.17931905
33,0.12536496
34,0.08324599
35,0.12536496
36,0.15470555
37,0.074511886
38,0.07935125
39,0.10905433
40,0.066449225
41,0.11725256
42,0.19564253
43,0.074511886
44,0.11239952
45,0.10427946
46,0.14671466
47,0.14055628
48,0.044760972
49,0.16637257
50,0.6487442
51,0.044760972
52,0.10580319
53,0.066449225
54,0.044760972
55,0.10427946
56,0.24165216
57,0.044760972
58,0.2845871
59,0.36863682
60,0.044760972
61,0.14671466
62,0.044760972
63,0.16637257
64,0.044760972
65,0.12536496
66,0.31562108
67,0.09964481
68,0.5269844
69,0.14671466
70,0.15127864
71,0.18646216
72,0.07519701
73,0.11725256
74,0.087484986
75,0.081326604
76,0.07519701
77,0.2845871
78,0.10427946
79,0.16637257
80,0.17931905
81,0.044760972
82,0.08467877
83,0.066449225
84,0.087484986
85,0.11109418
86,0.16637257
87,0.081326604
88,0.13374159
89,0.10580319
90,0.14055628
91,0.36863682
92,0.11725256
93,0.16637257
94,0.10427946
95,0.10580319
96,0.10580319
97,0.14671466
98,0.05157569
99,0.31562108
100,0.10427946
101,0.044760972
102,0.21927115
103,0.31562108
104,0.257319
105,0.5681517
106,0.044760972
107,0.044760972
108,0.24677163
109,0.30286247
110,0.16637257
111,0.16637257
112,0.13374159
113,0.22081149
114,0.16637257
115,0.11725256
116,0.044760972
117,0.044760972
118,0.044760972
119,0.79868287
120,0.16021419
121,0.22081149
122,0.11725256
123,0.074511886
124,0.13374159
125,0.081326604
126,0.13374159
127,0.09232435
128,0.6653405
129,0.11725256
130,0.30047107
131,0.25906476
132,0.2638396
133,0.07459268
134,0.15572569
135,0.17931905
136,0.08324599
137,0.10427946
138,0.10095015
139,0.10427946
140,0.11725256
141,0.13374159
142,0.23687729
143,0.14671466
144,0.05157569
145,0.088067144
146,0.081326604
147,0.14671466
148,0.09283009
149,0.27182847
150,0.3837049
151,0.14502284
152,0.6088993
153,0.044760972
154,0.2146531
155,0.20049557
156,0.10095015
157,0.044760972
158,0.14055628
159,0.16151953
160,0.11239952
161,0.044760972
162,0.257319
163,0.16637257
164,0.2638396
165,0.11109418
166,0.22081149
167,0.2638396
168,0.31562108
169,0.15339947
170,0.14186162
171,0.14186162
172,0.14671466
173,0.044760972
174,0.07935125
175,0.31562108
176,0.16021419
177,0.064903855
178,0.10580319
179,0.04865572
180,0.064903855
181,0.36051524
182,0.17931905
183,0.10427946
184,0.22652125
185,0.044760972
186,0.07326394
187,0.19963497
188,0.13374159
189,0.074511886
190,0.11725256
191,0.17931905
192,0.07170567
193,0.11725256
194,0.05350876
195,0.20970383
196,0.23687729
197,0.16151953
198,0.25906476
199,0.25487036
200,0.14671466
201,0.086165965
202,0.31789836
203,0.19433719
204,0.10660568
205,0.12536496
206,0.20970383
207,0.19342482
208,0.14671466
209,0.07459268
210,0.10427946
211,0.26904327
212,0.081326604
213,0.13007823
214,0.07170567
215,0.21014446
216,0.044760972
217,0.15339947
218,0.079286754
219,0.05157569
220,0.24165216
221,0.077876955
222,0.2638396
223,0.16021419
224,0.27182847
225,0.11725256
226,0.07935125
227,0.044760972
228,0.16637257
229,0.257319
230,0.11725256
231,0.087484986
232,0.10580319
233,0.14055628
234,0.16629678
235,0.31562108
236,0.10427946
237,0.14502284
238,0.044760972
239,0.044760972
240,0.07326394
241,0.044760972
242,0.07852039
243,0.31562108
244,0.11725256
245,0.21014446
246,0.18681118
247,0.21014446
248,0.11725256
249,0.6653405
250,0.16151953
251,0.07935125
252,0.044760972
253,0.41665655
254,0.11109418
255,0.12536496
256,0.07935125
257,0.25906476
258,0.11109418
259,0.15339947
260,0.11725256
261,0.07840663
262,0.18164527
263,0.079286754
264,0.13007823
265,0.11725256
266,0.047087193
267,0.24165216
268,0.31562108
269,0.16637257
270,0.11109418
271,0.07170567
272,0.32281455
273,0.074511886
274,0.07935125
275,0.11239952
276,0.044760972
277,0.14671466
278,0.15572569
279,0.10427946
280,0.26557386
281,0.057734072
282,0.10427946
283,0.08467877
284,0.087484986
285,0.13007823
286,0.24136096
287,0.10427946
288,0.057734072
289,0.25906476
290,0.08324599
291,0.10427946
292,0.43599147
293,0.13374159
294,0.19564253
295,0.16637257
296,0.07170567
297,0.0687986
298,0.14671466
299,0.11725256
300,0.20049557
301,0.275455
302,0.14876431
303,0.2638396
304,0.15339947
305,0.15470555
306,0.27182847
307,0.22557119
308,0.31329486
309,0.11725256
310,0.24726874
311,0.09232435
312,0.25906476
313,0.11725256
314,0.10427946
315,0.044760972
316,0.2515465
317,0.1581186
318,0.13374159
319,0.31053495
320,0.16629678
321,0.066449225
322,0.15339947
323,0.2638396
324,0.044760972
325,0.07326394
326,0.066449225
327,0.1581186
328,0.49947688
329,0.11109418
330,0.14671466
331,0.1581186
332,0.13374159
333,0.2638396
334,0.10427946
335,0.044760972
336,0.044760972
337,0.14876431
338,0.2146531
339,0.10427946
340,0.6653405
341,0.044760972
342,0.07170567
343,0.11725256
344,0.044760972
345,0.16021419
346,0.257319
347,0.11239952
348,0.04865572
349,0.07459268
350,0.31005204
351,0.30274835
352,0.074511886
353,0.057734072
354,0.057734072
355,0.07852039
356,0.11725256
357,0.10427946
358,0.13851646
359,0.11725256
360,0.09232435
361,0.04953584
362,0.16637257
363,0.07840663
364,0.1581186
365,0.31557214
366,0.044760972
367,0.10427946
368,0.11725256
369,0.16637257
370,0.19433719
371,0.14671466
372,0.10427946
373,0.26139098
374,0.07170567
375,0.27182847
376,0.22081149
377,0.37042397
378,0.16637257
379,0.14502284
380,0.06777796
381,0.044760972
382,0.04865572
383,0.24726874
384,0.044760972
385,0.10427946
386,0.10427946
387,0.14186162
388,0.35173404
389,0.10427946
390,0.69448227
391,0.11725256
392,0.14502284
393,0.16637257
394,0.27833247
395,0.074511886
396,0.11725256
397,0.087484986
398,0.36488402
399,0.31562108
400,0.11725256
401,0.20049557
402,0.066449225
403,0.19433719
404,0.11725256
405,0.10427946
406,0.20970383
407,0.10580319
408,0.07852039
409,0.6088993
410,0.10427946
411,0.2845871
412,0.10427946
413,0.16151953
414,0.28022987
415,0.7865418
416,0.15127864
417,0.16637257
418,0.31329486
419,0.25906476
420,0.2638396
421,0.20049557
422,0.05157569
423,0.11239952
424,0.09283009
425,0.19185284
426,0.14671466
427,0.22652125
428,0.11725256
429,0.2845871
430,0.14671466
431,0.044760972
432,0.16151953
433,0.6088993
434,0.14186162
435,0.14671466
436,0.25906476
437,0.09283009
438,0.65812325
439,0.24165216
440,0.13374159
441,0.044760972
442,0.15339947
443,0.079286754
444,0.05157569
445,0.10427946
446,0.22692013
447,0.10580319
448,0.044760972
449,0.11239952
450,0.044760972
451,0.07935125
452,0.7491384
453,0.11725256
454,0.044760972
455,0.07840663
456,0.17931905
457,0.14745897
458,0.13374159
459,0.7865418
460,0.16021419
461,0.19963497
462,0.08320016
463,0.044760972
464,0.15127864
465,0.044760972
466,0.08809903
467,0.2845871
468,0.19564253
469,0.086165965
470,0.044760972
471,0.22405347
472,0.30932868
473,0.07935125
474,0.19564253
475,0.22081149
476,0.057734072
477,0.31329486
478,0.52928936
479,0.044760972
480,0.044760972
481,0.12536496
482,0.41454506
483,0.09232435
484,0.07935125
485,0.10427946
486,0.21567684
487,0.079422325
488,0.26557386
489,0.08809903
490,0.074511886
491,0.05157569
492,0.16151953
493,0.12536496
494,0.074511886
495,0.30286247
496,0.11725256
497,0.044760972
498,0.08075106
499,0.08325967
500,0.24165216
501,0.044760972
502,0.17931905
503,0.07852039
504,0.20970383
505,0.16637257
506,0.25254416
507,0.50882196
508,0.31557214
509,0.24726874
510,0.07255283
511,0.10427946
512,0.27833247
513,0.11725256
514,0.28686237
515,0.07170567
516,0.09283009
517,0.11109418
518,0.21014446
519,0.11725256
520,0.07935125
521,0.07170567
522,0.10427946
523,0.066449225
524,0.2638396
525,0.047087193
526,0.28549618
527,0.077876955
528,0.057734072
529,0.13374159
530,0.17931905
531,0.08324599
532,0.14186162
533,0.07122409
534,0.2638396
535,0.11725256
536,0.21014446
537,0.04865572
538,0.11725256
539,0.07935125
540,0.31530982
541,0.10660568
542,0.044760972
543,0.16151953
544,0.10580319
545,0.1581186
546,0.044760972
547,0.20049557
548,0.11725256
549,0.2638396
550,0.30286247
